#! FIELDS idx_arg aver.targetdist-0 index description
#! SET type LinearBasisSet
#! SET ndimensions  1
#! SET ncoeffs_total  15
#! SET shape_arg  15
       0      1.00000000       0  L0(s)
       1      0.00000000       1  L1(s)
       2      0.00000000       2  L2(s)
       3      0.00000000       3  L3(s)
       4      0.00000000       4  L4(s)
       5      0.00000000       5  L5(s)
       6      0.00000000       6  L6(s)
       7      0.00000000       7  L7(s)
       8      0.00000000       8  L8(s)
       9      0.00000000       9  L9(s)
      10      0.00000000      10  L10(s)
      11      0.00000000      11  L11(s)
      12      0.00000000      12  L12(s)
      13      0.00000000      13  L13(s)
      14      0.00000000      14  L14(s)
#!-------------------


